n 10000, TimeSeries size 10000
-1.152,-1.28991
0.632,0.570987
0.173,0.157405
-0.630,-0.568162
-1.211,-1.13408
0.356,0.370232
-3.103,-2.74079
-0.468,-0.322061
0.654,1.05742
-0.027,0.0607824
-0.858,-0.995105
-0.126,0.0270765
-0.478,-0.557444
0.640,0.422428
1.994,1.76782
0.798,0.814927
-0.104,-0.163859
0.486,0.385075
0.367,0.107895
1.500,1.73796
0.292,0.23034
0.200,0.291712
0.712,0.712038
0.601,0.562691
-1.181,-1.00506
-2.825,-2.87962
0.213,0.209651
1.462,0.836716
0.158,0.13571
-0.333,-0.14745
-1.685,-1.67429
0.494,0.431184
2.348,2.02709
-0.189,-0.186955
-1.347,-1.35106
-0.028,-0.16304
0.006,0.0069055
2.787,2.88406
-0.153,-0.154578
1.107,1.02283
0.030,0.0318379
1.157,1.06956
0.706,0.67949
-1.223,-1.23588
0.011,-0.0261392
1.064,0.907817
0.437,0.446905
1.690,1.78957
-1.284,-1.25634
0.589,0.429112
0.917,0.962769
1.234,1.27116
1.124,1.02553
-0.617,-0.679442
1.133,1.46056
0.055,-0.0135883
-0.521,-0.22909
-0.193,-0.206988
-0.163,-0.143305
-0.902,-1.53632
-0.976,-0.991959
0.829,0.776395
1.307,1.33985
-1.283,-1.30338
-1.562,-1.54724
0.279,0.270317
1.984,1.99903
1.434,1.44485
0.332,0.416693
-2.210,-2.44957
-1.726,-1.74439
-0.004,-0.0215613
-0.222,-0.357286
-0.628,-0.672741
0.404,0.513923
-0.166,-0.155962
-0.766,-0.676983
0.088,-0.352057
-1.496,-1.4633
1.193,0.981633
-0.345,-0.331063
-0.630,-0.598598
-1.314,-1.31944
0.815,0.569576
0.177,0.175726
1.802,2.0136
0.385,0.604525
0.743,1.36369
-0.182,-0.0735458
-0.608,-0.652784
-0.233,-0.272234
0.162,0.163981
-0.126,-0.17514
0.121,0.12346
-1.286,-1.44081
2.110,2.03671
-1.242,-1.04899
0.268,0.27635
-0.310,-0.293703
-1.003,-1.04652
1.976,1.84779
-2.214,-2.22195
-1.488,-1.48465
1.580,1.618
0.449,0.78069
-0.553,-0.478051
0.340,0.418073
1.302,1.2989
1.364,1.35945
0.548,0.662919
0.836,0.836586
-0.101,-0.108462
-0.087,-0.231696
0.313,0.109115
0.802,0.601555
-1.354,-1.64693
-1.198,-1.18959
1.072,1.21592
-0.679,-0.678502
-0.537,-0.355168
-1.162,-1.10727
-0.731,-0.723745
-0.108,-0.100279
0.727,0.736717
-1.056,-0.306474
0.158,-0.145099
-0.758,-0.816207
-0.991,-1.11328
0.598,0.555598
-0.040,-0.0137086
0.246,0.341721
0.491,0.426769
-0.813,-0.782802
0.476,0.368732
1.015,0.875831
-1.920,-1.99474
1.106,1.2472
